proposal_id,config,performance_group,human_score,future_improvement,learning_outcomes,strengths_weaknesses,performance_summary,active_role,affirm_encourage,strengthen_relationship
p_high_007,C-SF,High,14.3,True,True,True,True,True,True,True
p_high_006,C-SF,High,13.2,True,True,True,False,True,True,True
p_high_004,C-SF,High,12.8,True,True,True,True,True,True,True
p_high_002,C-SF,High,14.3,True,True,True,True,True,True,True
p_high_003,C-SF,High,11.8,True,True,True,True,True,True,True
p_high_008,C-SF,High,12.5,True,True,True,True,True,True,True
p_high_005,C-SF,High,12.3,True,True,True,True,True,True,True
p_high_001,C-SF,High,11.6,True,True,True,True,True,True,True
p_high_009,C-SF,High,12.4,True,True,True,True,True,True,True
p_high_012,C-SF,High,14.3,True,True,True,True,True,True,False
p_high_011,C-SF,High,13.4,True,True,True,True,True,True,True
p_high_010,C-SF,High,14.7,True,True,True,True,True,True,True
p_high_015,C-SF,High,14.4,True,True,True,False,True,True,True
p_high_013,C-SF,High,14.6,True,True,True,False,True,True,True
p_high_016,C-SF,High,11.2,True,True,True,True,True,True,True
p_high_014,C-SF,High,13.1,True,False,True,False,True,True,True
p_high_017,C-SF,High,11.2,True,True,True,False,True,True,True
p_high_021,C-SF,High,14.2,True,True,True,True,True,True,True
p_high_020,C-SF,High,12.3,True,True,True,True,True,True,False
p_high_018,C-SF,High,13.5,True,True,True,False,True,True,False
p_high_022,C-SF,High,11.0,True,True,True,True,True,True,False
p_high_023,C-SF,High,10.5,True,True,True,False,True,True,True
p_high_019,C-SF,High,12.8,True,True,True,True,True,True,True
p_high_024,C-SF,High,10.7,True,True,True,True,True,True,True
p_high_025,C-SF,High,15.0,True,True,True,True,True,True,True
p_high_027,C-SF,High,10.6,True,True,True,True,True,True,True
p_high_026,C-SF,High,13.3,True,True,True,True,True,True,True
p_high_028,C-SF,High,14.9,True,True,True,True,True,True,True
p_high_029,C-SF,High,14.4,True,True,True,True,True,True,True
p_high_030,C-SF,High,10.9,True,True,True,True,True,True,True
p_high_031,C-SF,High,13.9,True,True,True,True,True,True,False
p_high_032,C-SF,High,12.1,True,True,True,True,True,True,True
p_high_034,C-SF,High,11.1,True,True,True,True,True,True,True
p_high_035,C-SF,High,13.6,True,True,True,True,True,True,True
p_high_033,C-SF,High,13.8,True,True,True,True,True,True,True
p_high_036,C-SF,High,14.5,True,True,True,True,True,True,True
p_high_037,C-SF,High,13.6,True,True,True,True,True,True,True
p_high_038,C-SF,High,13.7,True,True,True,True,True,True,True
p_high_039,C-SF,High,12.0,True,True,True,True,True,True,True
p_high_040,C-SF,High,11.3,True,True,True,True,True,True,True
p_high_042,C-SF,High,10.9,True,True,True,True,True,True,True
p_high_043,C-SF,High,12.7,True,True,True,True,True,True,True
p_high_041,C-SF,High,12.2,True,True,True,True,True,True,True
p_high_044,C-SF,High,10.8,True,True,True,True,True,True,True
p_high_047,C-SF,High,13.3,True,True,True,False,True,True,True
p_high_046,C-SF,High,11.1,True,True,True,False,True,True,True
p_high_045,C-SF,High,14.8,True,True,True,True,True,True,True
p_high_048,C-SF,High,13.0,True,True,True,True,True,True,True
p_high_049,C-SF,High,11.7,True,True,True,True,True,True,True
p_high_051,C-SF,High,11.2,True,True,True,True,True,True,False
p_high_050,C-SF,High,13.9,True,True,True,True,True,True,True
p_high_052,C-SF,High,11.2,True,True,True,True,True,True,False
p_high_054,C-SF,High,12.5,True,True,True,True,True,True,True
p_high_053,C-SF,High,14.0,True,True,True,True,True,True,True
p_high_056,C-SF,High,11.3,True,True,True,True,True,True,True
p_high_055,C-SF,High,14.0,True,True,True,False,True,True,True
p_high_057,C-SF,High,14.2,True,True,True,True,True,True,True
